energy_kev,s2_bin_0,s2_bin_1,s2_bin_2,s2_bin_3,s2_bin_4,s2_bin_5,s2_bin_6
3.3,0.0008499792356753352,0.008600549924982787,0.020420462712711685,0.028791695475937063,0.02777420102714236,0.019126569660903654,0.008467759255277058
3.4,0.0006913429437726736,0.007296889330580832,0.018256880329650033,0.027202907492709726,0.0277354103297776,0.020160199550246383,0.009353294258496242
3.5,0.0005562718511950968,0.0061623911637508876,0.01625112680902659,0.02551193095106421,0.027439778638854596,0.021004731374468656,0.01022561615497948
3.6,0.0004483506882846354,0.005195089207649826,0.014383678573939795,0.02375329360567389,0.02690624751959562,0.021676514942173784,0.011040702938166192
3.7,0.0003589600464016198,0.004361035045596361,0.01268404688836634,0.02200302281629144,0.02619024137943864,0.02213799142582398,0.011806977564872399
3.8,0.0002873423988866806,0.003656711074672937,0.011128001185083388,0.020232959668177952,0.025248427973445647,0.022439720856818973,0.012500271214471902
3.9,0.00022957939151942728,0.0030596023350220915,0.009716409356669184,0.018519190316150173,0.02422423188814819,0.022527952420381067,0.01309672950580044
4.0,0.00018535863545656204,0.0025417616498541835,0.00845306000166893,0.01684299049423158,0.02306101973664284,0.022488009543643973,0.013600268567571405
4.1,0.00014792671985089782,0.0021164502332007883,0.007327361285933254,0.015242314038351173,0.021839801090360877,0.022208312811186105,0.014038165677569228
4.2,0.0001178959800082445,0.0017607864076048135,0.006335391216936709,0.013759649957776069,0.020531640883220438,0.021835228991839088,0.014340466726787992
4.3,9.532527421653271e-05,0.0014607456814461945,0.005462393288879394,0.012337410941357013,0.019234916738805768,0.02125561088570397,0.014552318449954655
4.4,7.597729027926922e-05,0.0012031252664190533,0.004679463088312149,0.01104048915081918,0.017875017191539996,0.020639470336364308,0.014668678876690535
4.5,6.060317140996455e-05,0.0009921379734700916,0.00402085391667366,0.009810558351904742,0.016586252099208824,0.01988741299813431,0.014674097649951829
4.6,4.714776027739047e-05,0.0008222615710914135,0.003441974817366003,0.0087088445313853,0.015305863950064776,0.019054728694581177,0.014590087852021729
4.7,3.850686620771885e-05,0.000681063156327009,0.0029358815836328265,0.0076974279745399945,0.014007343260210147,0.018152188093166176,0.014422867776746423
4.8,3.1376070770025256e-05,0.0005577469153773784,0.002496977398523093,0.0067904556883621224,0.012818660051558017,0.01723278045582575,0.014157298182533673
4.9,2.46432668197155e-05,0.0004597369228583575,0.002121181423798799,0.005970899216757417,0.01166490028053879,0.0162562862617229,0.01384307044990809
5.0,2.0539167541861536e-05,0.0003793134223759174,0.0018022079274356366,0.005226849759687185,0.010592655867193934,0.015274680893041936,0.013452663419718475
